"taxon","lfc_(Intercept)","lfc_body_siteRectum","lfc_diagnosisCD","lfc_diagnosisUC","lfc_consent_age","se_(Intercept)","se_body_siteRectum","se_diagnosisCD","se_diagnosisUC","se_consent_age","W_(Intercept)","W_body_siteRectum","W_diagnosisCD","W_diagnosisUC","W_consent_age","p_(Intercept)","p_body_siteRectum","p_diagnosisCD","p_diagnosisUC","p_consent_age","q_(Intercept)","q_body_siteRectum","q_diagnosisCD","q_diagnosisUC","q_consent_age","diff_(Intercept)","diff_body_siteRectum","diff_diagnosisCD","diff_diagnosisUC","diff_consent_age","passed_ss_(Intercept)","passed_ss_body_siteRectum","passed_ss_diagnosisCD","passed_ss_diagnosisUC","passed_ss_consent_age"
"Acidaminococcus",-2.03117462301783,-0.87845889050381,1.32992889355464,0.341509620369166,0.0336424362542807,0.34108871288553,0.196380319876825,0.404306179581952,0.433278037357333,0.00824564249732061,-5.95497460421533,-4.47325318063847,3.28941025568734,0.788199703017756,4.08002605803159,0.00100338345436555,0.00422272112331845,0.0166260415903456,0.460577057610096,0.00650189513600831,0.00100338345436555,0.00422272112331845,0.0166260415903456,0.460577057610096,0.00650189513600831,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"Acinetobacter",-0.218802565900211,-0.632105503369697,0.544395516554934,0.512859566097764,0.00252594920978143,0.222342195131365,0.188018543956899,0.342623357309446,0.433995384179113,0.00590838512515746,-0.984080263176937,-3.36193170134643,1.58890368954985,1.1817166375348,0.42751939087825,0.33058102074504,0.00163381305582727,0.119408820402711,0.243812389229856,0.67113448761948,0.33058102074504,0.00163381305582727,0.119408820402711,0.243812389229856,0.67113448761948,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Actinomyces",-0.0170195899532414,-0.346749754624067,0.40881748522801,-0.00533349764508747,-0.00624318743363491,0.266534955788446,0.208850084810519,0.374556589198394,0.418560779003999,0.00644385894153964,-0.0638550013182891,-1.66028065029832,1.09147054682162,-0.0127424687467827,-0.968858488411172,0.949309094148242,0.102350116968516,0.279658085754221,0.989877751917674,0.336709029672488,0.949309094148242,0.102350116968516,0.279658085754221,0.989877751917674,0.336709029672488,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Aggregatibacter",0.66389518627141,-1.15503901049614,0.00344200045807033,-1.17788194441446,-0.00826809586801893,0.228455390124079,0.186772560037935,0.371865043507915,0.426470902580512,0.00595886790644953,2.90601673224184,-6.18420077479017,0.00925604737030643,-2.76192804078137,-1.38752796635583,0.00844876268272668,3.90260799151257e-06,0.992702217599856,0.0116837295280596,0.179830072164707,0.00844876268272668,3.90260799151257e-06,0.992702217599856,0.0116837295280596,0.179830072164707,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Akkermansia",-0.976585764442076,0.740390792797445,-1.5175573851498,-1.77562947483298,0.0404998778860206,0.490223300332881,0.349413621645107,0.530569686246709,0.596086971922862,0.0107179225778741,-1.99212433146066,2.11895228729647,-2.86024140558258,-2.97880939941557,3.77870595647217,0.0532139040895365,0.0403530460502842,0.00669738919472266,0.00489939481730462,0.000514530413702708,0.0532139040895365,0.0403530460502842,0.00669738919472266,0.00489939481730462,0.000514530413702708,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Alistipes",0.478593546946698,0.251812164675597,-0.688018658670496,-1.46360167199561,-0.00328526266718651,0.5187552666162,0.391109572085419,0.55059183060036,0.622337362314163,0.0109127674435704,0.922580603506016,0.643840454563463,-1.24959837838547,-2.35178178368273,-0.301047620062876,0.359265072640396,0.52169661980514,0.21543791430032,0.0213842653845426,0.764233997034006,0.359265072640396,0.52169661980514,0.21543791430032,0.0213842653845426,0.764233997034006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Anaerococcus",-0.467416486294728,1.02606469871868,0.345285964539497,-0.194826183154883,-0.0199201710781547,0.227868744858127,0.172676505633877,0.356972498354026,0.435728322507691,0.00579962084430988,-2.05125317465432,5.942121048559,0.96726208918498,-0.447127655217877,-3.43473678933663,0.052924387316041,6.73945754508178e-06,0.344421565358642,0.659360484164302,0.0024866043165584,0.052924387316041,6.73945754508178e-06,0.344421565358642,0.659360484164302,0.0024866043165584,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Anaerostipes",0.836849936701469,-0.201843124789235,-0.759310109771823,-0.00690554365957175,-0.02095832258235,0.365116449679361,0.297480599208594,0.451484390225222,0.519588888506708,0.00883674930542762,2.29200830977727,-0.678508532409208,-1.68180811166703,-0.0132903990295447,-2.37172311423129,0.0245339405258919,0.499407379567465,0.0965059491118521,0.989429196446753,0.0201085934697603,0.0245339405258919,0.499407379567465,0.0965059491118521,0.989429196446753,0.0201085934697603,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Anaerotruncus",-0.816716745188719,0.310098632830024,-0.435735350127364,-0.403197373262083,0.0197661837785447,0.254005010467429,0.208984690428007,0.376998734836078,0.444171780629707,0.00647280263074097,-3.21535682971674,1.48383420907499,-1.15580056340726,-0.907750989246695,3.05372879510802,0.00285491288404199,0.147064939040619,0.25582036358799,0.37039915056062,0.00437090752556863,0.00285491288404199,0.147064939040619,0.25582036358799,0.37039915056062,0.00437090752556863,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Bacteroides",1.03023568625328,0.312526103594396,-0.615660927574254,-0.413564126444152,-0.026531547382315,0.574760466676083,0.409312578101415,0.557978421594811,0.629004598097745,0.0117636779156349,1.79246093979162,0.76353896829665,-1.10337766434511,-0.657489830272887,-2.25537859609811,0.0762422166218126,0.447034112213798,0.272650332839526,0.512455916508993,0.0264046226063708,0.0762422166218126,0.447034112213798,0.272650332839526,0.512455916508993,0.0264046226063708,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
