"taxon","lfc_(Intercept)","lfc_body_siteRectum","lfc_diagnosisCD","lfc_diagnosisUC","lfc_consent_age","se_(Intercept)","se_body_siteRectum","se_diagnosisCD","se_diagnosisUC","se_consent_age","W_(Intercept)","W_body_siteRectum","W_diagnosisCD","W_diagnosisUC","W_consent_age","p_(Intercept)","p_body_siteRectum","p_diagnosisCD","p_diagnosisUC","p_consent_age","q_(Intercept)","q_body_siteRectum","q_diagnosisCD","q_diagnosisUC","q_consent_age","diff_(Intercept)","diff_body_siteRectum","diff_diagnosisCD","diff_diagnosisUC","diff_consent_age","passed_ss_(Intercept)","passed_ss_body_siteRectum","passed_ss_diagnosisCD","passed_ss_diagnosisUC","passed_ss_consent_age"
"Acidaminococcus",-1.76123199261618,0.434257587643226,2.18512398216694,0.755678536582586,0.0102972315899385,0.156295380047156,0.122641750747397,0.270214039060799,0.33183976709378,0.00548089455923408,-11.268611983827,3.54086259366647,8.08664120399489,2.27723923265962,1.87875017091689,9.61586552408144e-05,0.0165473891751644,0.000468614367751382,0.0717855464467357,0.119067654382132,9.61586552408144e-05,0.0165473891751644,0.000468614367751382,0.0717855464467357,0.119067654382132,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Acinetobacter",0.00632167888837378,0.0206600115946976,0.279630556540189,0.778566171424339,-0.0114862293123088,0.352423291262788,0.244727212404166,0.345437226404746,0.366029002432483,0.00770396200481585,0.0179377443123076,0.0844205733875547,0.809497457614913,2.12706142477863,-1.49095092955139,0.985728224885297,0.932909553211889,0.420364086012427,0.0361506258896253,0.139471055871211,0.985728224885297,0.932909553211889,0.420364086012427,0.0361506258896253,0.139471055871211,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Actinomyces",0.160087272134322,0.0659950789525215,-0.115974006082009,0.151068600165342,-0.00728002129311693,0.305479246938288,0.22255957171919,0.309342186809358,0.359504303635701,0.00743026073429112,0.524052857072358,0.296527704662325,-0.37490523771813,0.420213607007123,-0.979780057988972,0.601605634188325,0.76755044978806,0.708664742204638,0.675389793984778,0.329975180393445,0.601605634188325,0.76755044978806,0.708664742204638,0.675389793984778,0.329975180393445,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Aggregatibacter",-3.17444938742301,-0.184855130772947,-0.820493723374538,-1.11389493454152,0.245938478273794,0.180755186900207,0.126603190722531,0.275062132788841,0.329872314357601,0.00541184181070762,-17.5621482396276,-1.46011431242743,-2.98293958188862,-3.37674574694375,45.4445061175276,1.12863233608079e-07,0.182384951764781,0.0175216426526968,0.00968824473493649,6.0718639471923e-11,1.12863233608079e-07,0.182384951764781,0.0175216426526968,0.00968824473493649,6.0718639471923e-11,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Akkermansia",-0.820731192081111,0.114209147026418,-0.381009970523776,0.117784790068052,0.0163764260843538,0.18280743368989,0.176727772687877,0.277318076403168,0.384018730336262,0.00597720488708913,-4.48959418944296,0.646243345284078,-1.37390961117825,0.30671626346172,2.73981340671911,0.000322857366738207,0.52675051754109,0.187315836759771,0.762784330515705,0.0139628723801926,0.000322857366738207,0.52675051754109,0.187315836759771,0.762784330515705,0.0139628723801926,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Alistipes",0.516148524876348,0.510823538833148,-0.949829750890076,-1.24232326618755,-0.00361329755122421,0.374503726251925,0.261702918358698,0.362358457610745,0.417211485498294,0.008177305296075,1.37821999808125,1.95192144603064,-2.621243497814,-2.97768232507738,-0.441868980109932,0.173169798977769,0.0555422572803598,0.011044844113187,0.0041620491533725,0.66014659038502,0.173169798977769,0.0555422572803598,0.011044844113187,0.0041620491533725,0.66014659038502,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Anaerococcus",-0.7570645529839,0.146076588419499,0.130819821928062,0.179718765971281,0.0218865042333707,0.290200836257958,0.210649880451479,0.304897559784738,0.345827155164005,0.00685350049846243,-2.60876075598539,0.693456782915889,0.429061557660294,0.519678004713225,3.19347817050294,0.0106953460060918,0.48987021609746,0.6689390373398,0.604607743590122,0.00195770418591245,0.0106953460060918,0.48987021609746,0.6689390373398,0.604607743590122,0.00195770418591245,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Anaerostipes",1.4094661629795,-0.16820505001034,-1.33653440728404,-1.04707188752977,-0.0180939213872822,0.366344031623256,0.318330486049459,0.412243068238844,0.468581696259361,0.0106563995007267,3.84738399240247,-0.528397553428816,-3.24210280355686,-2.23455567276409,-1.69793947627887,0.000235217947349609,0.59865064711357,0.00171635034618432,0.028167348621347,0.0933112512662306,0.000235217947349609,0.59865064711357,0.00171635034618432,0.028167348621347,0.0933112512662306,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"Anaerotruncus",-0.0179858749021797,-0.0154771552976883,-0.0191905370937203,-0.0784764880757662,-0.00634200511989731,0.231440160828377,0.15868243394735,0.280745953073264,0.334210027054115,0.00583992692395148,-0.0777128517272204,-0.0975354039680511,-0.068355525284143,-0.23481188989898,-1.08597336961301,0.938443915380454,0.922788320418736,0.945843188028612,0.81555263743067,0.283992222288007,0.938443915380454,0.922788320418736,0.945843188028612,0.81555263743067,0.283992222288007,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Bacteroides",0.147413201747657,0.155277203810395,0.130465270073485,0.166512574699464,-0.0105791734031336,0.452782070699525,0.329862220898534,0.418030705703872,0.470994221280108,0.00933474789174722,0.325572082657583,0.470733518338126,0.312094944924704,0.353534220116125,-1.13331110018371,0.745495560521761,0.638957451092086,0.755682353646982,0.724505709167442,0.260060646260444,0.745495560521761,0.638957451092086,0.755682353646982,0.724505709167442,0.260060646260444,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
