"taxon","lfc_(Intercept)","lfc_body_siteRectum","lfc_diagnosisIBD","lfc_consent_age","se_(Intercept)","se_body_siteRectum","se_diagnosisIBD","se_consent_age","W_(Intercept)","W_body_siteRectum","W_diagnosisIBD","W_consent_age","p_(Intercept)","p_body_siteRectum","p_diagnosisIBD","p_consent_age","q_(Intercept)","q_body_siteRectum","q_diagnosisIBD","q_consent_age","diff_(Intercept)","diff_body_siteRectum","diff_diagnosisIBD","diff_consent_age","passed_ss_(Intercept)","passed_ss_body_siteRectum","passed_ss_diagnosisIBD","passed_ss_consent_age"
"Acidaminococcus",-2.28110696759073,-0.415370984342837,0.565426294831124,0.0506143564837214,0.385693480090002,0.222064952346793,0.273776864204671,0.00840670900196229,-5.91430004743257,-1.87049320459252,2.06528150752878,6.02070994391587,0.000590897664723642,0.103602748771994,0.0777564989120443,0.000531187724236571,0.000590897664723642,0.103602748771994,0.0777564989120443,0.000531187724236571,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"Acinetobacter",-0.22469693221748,-0.623274942219675,0.347692989676454,0.00770370140784046,0.275435922467616,0.21143061062272,0.241708268240204,0.00638834507755375,-0.815786590958913,-2.94789359205823,1.4384819857752,1.20589938619759,0.419016663905231,0.00510404019875753,0.157372872602658,0.234300995339985,0.419016663905231,0.00510404019875753,0.157372872602658,0.234300995339985,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"Actinomyces",-0.0300918935837662,-0.327249314792359,0.0741218997489858,-0.00101487152269623,0.320651940287104,0.233497031594986,0.27826413565819,0.00699661571845809,-0.0938459737895944,-1.40151381179009,0.266372450670519,-0.145051774105423,0.925554956282817,0.166389151890481,0.790897087720949,0.885172890554964,0.925554956282817,0.166389151890481,0.790897087720949,0.885172890554964,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"Aggregatibacter",0.593218500625779,-1.27478658053327,-0.305768514107172,0.000211285155167672,0.279860389784719,0.217647968399739,0.251168436180764,0.00641686041953243,2.1196943986325,-5.85710305456174,-1.21738431292024,0.0329265624236637,0.0455510606884511,6.80763906656696e-06,0.236355590091286,0.97403005973206,0.0455510606884511,6.80763906656696e-06,0.236355590091286,0.97403005973206,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"Akkermansia",-0.981191975397595,0.730840949764376,-1.77707087892231,0.0458214116087068,0.53799036214744,0.367099092811043,0.445178558414398,0.0111606030220583,-1.82380957807696,1.99085468767574,-3.99181596987002,4.10563941017733,0.0754759107243348,0.0531899734419166,0.000264995049197571,0.000187360070496638,0.0754759107243348,0.0531899734419166,0.000264995049197571,0.000187360070496638,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Alistipes",0.43367788576755,0.323418684279046,-1.17786788678909,0.00229953524358046,0.571953095914563,0.414232785625384,0.472268246466658,0.0115769618006958,0.758240297788915,0.780765539335009,-2.49406538678277,0.198630286872178,0.450715274030059,0.437430952149547,0.0148619358148472,0.843096669010236,0.450715274030059,0.437430952149547,0.0148619358148472,0.843096669010236,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Anaerococcus",-0.441858340090659,0.863813850984865,0.00952333710490577,-0.0114231424289973,0.276163578476985,0.20048146164938,0.243610798242944,0.00624438572059755,-1.5999877410608,4.30869689335955,0.0390924260073583,-1.8293460622263,0.123864908544488,0.000283852249582916,0.969169285781969,0.0809350748261169,0.123864908544488,0.000283852249582916,0.969169285781969,0.0809350748261169,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"Anaerostipes",0.801740334965022,-0.192399729428386,-0.625183099086919,-0.0148759709436263,0.416904474104609,0.321572614903382,0.38595759740152,0.00931743080787902,1.92307922980901,-0.598308812727083,-1.61982327410057,-1.59657434011175,0.0579842284189627,0.551303285780763,0.109157343772172,0.114254922739636,0.0579842284189627,0.551303285780763,0.109157343772172,0.114254922739636,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Anaerotruncus",-0.863212923710034,0.327115515277862,-0.573696525395784,0.0260576703208899,0.304012880648397,0.232672279109613,0.268432214832985,0.00690583890089093,-2.83939588963789,1.40590669644731,-2.13721190563037,3.77328094310571,0.0074785354159038,0.168567818517005,0.0396454584364579,0.000598289226602432,0.0074785354159038,0.168567818517005,0.0396454584364579,0.000598289226602432,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Bacteroides",0.999112896919282,0.31146194936611,-0.697700640696092,-0.0204444663040696,0.61950492015735,0.427460094990211,0.482529521119734,0.0122084995462692,1.61276022903178,0.728633977806145,-1.44592322367561,-1.67460925288867,0.110079318069767,0.467999340691483,0.151455604539935,0.0972657981053384,0.110079318069767,0.467999340691483,0.151455604539935,0.0972657981053384,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
