"taxon","lfc_(Intercept)","lfc_body_siteRectum","lfc_diagnosisIBD","lfc_consent_age","se_(Intercept)","se_body_siteRectum","se_diagnosisIBD","se_consent_age","W_(Intercept)","W_body_siteRectum","W_diagnosisIBD","W_consent_age","p_(Intercept)","p_body_siteRectum","p_diagnosisIBD","p_consent_age","q_(Intercept)","q_body_siteRectum","q_diagnosisIBD","q_consent_age","diff_(Intercept)","diff_body_siteRectum","diff_diagnosisIBD","diff_consent_age","passed_ss_(Intercept)","passed_ss_body_siteRectum","passed_ss_diagnosisIBD","passed_ss_consent_age"
"Acidaminococcus",-2.53603732398432,0.96136576199956,1.54815271501965,0.0263456643780706,0.1795680667402,0.13508698493609,0.132611382078873,0.00569586606724403,-14.1229861746715,7.11664238012557,11.6743577417725,4.625400960458,7.8694468020937e-06,0.000387111277675339,2.38102907217419e-05,0.00359496068172637,7.8694468020937e-06,0.000387111277675339,2.38102907217419e-05,0.00359496068172637,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Acinetobacter",-0.0215540810826133,0.0782789321915661,0.33733939734592,-0.0107889812695903,0.367237994136586,0.245627914953626,0.274726192795235,0.00792765281497718,-0.0586924049982605,0.318689071664941,1.22791130293628,-1.36093009133894,0.953325803209101,0.750692612543156,0.222646914833682,0.176896667241267,0.953325803209101,0.750692612543156,0.222646914833682,0.176896667241267,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Actinomyces",0.147180596064504,0.130415053612329,-0.153786314241564,-0.00719885690811524,0.320903261620945,0.222825833736202,0.238461034126649,0.0076081749376477,0.45864474957676,0.585277978884279,-0.64491171400308,-0.946200234236595,0.647646289864694,0.559893439228895,0.520701098528714,0.346697480624401,0.647646289864694,0.559893439228895,0.520701098528714,0.346697480624401,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Aggregatibacter",-3.01395730547453,-0.0300773926347554,-0.97735605912257,0.230730806256631,0.200165460237026,0.13580901328406,0.137947147384043,0.0056534125975008,-15.0573295807656,-0.221468309852492,-7.08500376888274,40.8126600132865,1.09133451297382e-07,0.829671092685041,5.76060126156697e-05,1.58541337492901e-11,1.09133451297382e-07,0.829671092685041,5.76060126156697e-05,1.58541337492901e-11,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Akkermansia",-0.822690780110483,0.119267116805988,-0.296737728061265,0.0168869778334507,0.202620152593657,0.181796162967582,0.178825143362444,0.00620285950066496,-4.06026137864156,0.656048592330607,-1.65937363438784,2.72245048136917,0.000734376113537256,0.520091667142296,0.114362273296136,0.0139687769007759,0.000734376113537256,0.520091667142296,0.114362273296136,0.0139687769007759,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Alistipes",0.537885696367067,0.561518042477472,-1.20576927951467,-0.00449164611752897,0.391078313790373,0.262169087219864,0.28628389406956,0.00837201116133328,1.37539126410212,2.14181636909222,-4.2117957191881,-0.536507421093029,0.173959460718528,0.0361446522824854,8.3461392598112e-05,0.593527840608495,0.173959460718528,0.0361446522824854,8.3461392598112e-05,0.593527840608495,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Anaerococcus",-0.754901482807037,0.212170575322324,0.0031468024085848,0.0214155637438412,0.305700274002776,0.210473883046008,0.235440400509724,0.00694771041152028,-2.46941709577985,1.00806129602286,0.0133656008135054,3.08239153265962,0.0154641733255654,0.316188849199571,0.989366366058762,0.00274190799912545,0.0154641733255654,0.316188849199571,0.989366366058762,0.00274190799912545,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Anaerostipes",1.41117298450299,-0.109382714204824,-1.37120508159794,-0.0184453691403949,0.383233195083471,0.317861649166888,0.348928672191831,0.0107840622243598,3.68228275266089,-0.344120514354326,-3.92975754323822,-1.71042866376727,0.000410291525135481,0.731625967400098,0.000175287502906297,0.0909222412645752,0.000410291525135481,0.731625967400098,0.000175287502906297,0.0909222412645752,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Anaerotruncus",-0.0343256907335887,0.0686540896025981,-0.194013394131746,-0.00641424905090128,0.247900692313535,0.163278422450296,0.181059288843469,0.00601970633744632,-0.138465489600872,0.42047251910152,-1.07154620661012,-1.06554185392743,0.890550400268852,0.676336007889706,0.290191161401863,0.292865693023449,0.890550400268852,0.676336007889706,0.290191161401863,0.292865693023449,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"Bacteroides",0.148156670341761,0.218940368468149,-0.00193869265846069,-0.01095381894887,0.466531469470076,0.327940410693522,0.349085108029613,0.00944049272411162,0.317570582130396,0.667622413490118,-0.00555363896616362,-1.16030161443727,0.751530332048247,0.506045929422793,0.99558088479722,0.248928178115135,0.751530332048247,0.506045929422793,0.99558088479722,0.248928178115135,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
