Sample,Total,Adaptor,Adaptor (%),hg38,hg38 (%),CHM13,CHM (%)
SRR8314229,36104608.0,1586507.0,4.39,53716.0,99.8512212069994,6875.0,12.8
SRR8314290,42836890.0,1551345.0,3.62,79470.0,99.81448233053332,6826.0,8.59
SRR8314302,43021699.0,1522516.0,3.54,121463.0,99.71767037838278,6935.0,5.71
SRR8314312,43169529.0,1592716.0,3.69,91476.0,99.7881005373026,6320.0,6.91
SRR8314395,44118990.0,2779274.0,6.3,130926.0,99.70324343326989,10919.0,8.34
SRR8314397,42021705.0,1369995.0,3.26,86063.0,99.79519393608612,6282.0,7.3
SRR8314487,42697198.0,1281437.0,3.0,77519.0,99.81844476070772,5751.0,7.42
SRR8314709,38452184.0,1540531.0,4.01,77181.0,99.79928058182598,6606.0,8.56
SRR8314760,100587222.0,4603461.0,4.58,,,,0.0
SRR8314766,35721996.0,2192526.0,6.14,104477.0,99.70752754129416,9340.0,8.94
SRR8314318,72426510.0,3595371.0,4.96,,,,0.0
SRR8314355,70436853.0,4121147.0,5.85,,,,0.0
SRR8314564,72304285.0,4068802.0,5.63,,,,0.0
SRR8314771,77683169.0,3193244.0,4.11,,,,
SRR8314152,45395728.0,2618939.0,5.77,25635.0,99.94352992863116,8123.0,31.69
SRR8314210,42436742.0,2217350.0,5.23,29909.0,99.92952097972083,7130.0,23.84
SRR8314622,46239727.0,1722286.0,3.72,95353.0,99.79378554722004,8114.0,8.51
SRR8314738,49994922.0,1794900.0,3.59,104295.0,99.7913888134479,7644.0,7.33
SRR8314069,48211385.0,2104107.0,4.36,89338.0,99.81469522188587,9255.0,10.36
SRR8314395,44118990.0,2779274.0,6.3,130926.0,99.70324343326989,10919.0,8.34
SRR8314540,51809277.0,1705397.0,3.29,143477.0,99.72306697119127,7661.0,5.34
SRR8314562,50233677.0,1831676.0,3.65,140323.0,99.7206595089585,7493.0,5.34
SRR8314570,52253145.0,1890526.0,3.62,125171.0,99.76045269619657,7960.0,6.36
SRR8314620,47568353.0,2120480.0,4.46,108970.0,99.77091912347692,8979.0,8.24
SRR8314717,48118163.0,1906452.0,3.96,92908.0,99.80691698475688,8677.0,9.34
SRR8314231,49484553.0,1982273.0,4.01,88939.0,99.82026916561215,8938.0,10.05
SRR8314282,51923598.0,1546952.0,2.98,100112.0,99.80719363862266,6777.0,6.77
SRR8314353,47028846.0,2308579.0,4.91,130543.0,99.72241929984844,10365.0,7.94
SRR8314377,52654548.0,1696280.0,3.22,105237.0,99.80013692264531,7787.0,7.4
SRR8314594,53353700.0,1833077.0,3.44,123962.0,99.7676599748471,7660.0,6.18
SRR8314600,49247099.0,1960671.0,3.98,98715.0,99.79955164465628,9338.0,9.46
SRR8314055,51577995.0,1704540.0,3.3,82896.0,99.83928029773162,7643.0,9.22
SRR8314554,53623580.0,1650808.0,3.08,97474.0,99.81822548960737,7710.0,7.91
SRR8314705,50276975.0,2046949.0,4.07,89609.0,99.82176930891328,8387.0,9.36
SRR8314721,49099277.0,1844851.0,3.76,103240.0,99.7897321380109,9157.0,8.87
SRR8314102,46781624.0,3086436.0,6.6,111893.0,99.76081847864025,12252.0,10.95
SRR8314146,45602870.0,3275294.0,7.18,33498.0,99.92654409689565,7560.0,22.57
SRR8314230,49966842.0,1954541.0,3.91,100942.0,99.79798202976285,9993.0,9.9
SRR8314592,53175093.0,1620546.0,3.05,150015.0,99.71788483754979,7440.0,4.96
SRR8314616,51314321.0,2096820.0,4.09,116799.0,99.7723851787886,9764.0,8.36
SRR8314644,50178639.0,2148627.0,4.28,109310.0,99.78215830046726,9203.0,8.42
SRR8314650,50028745.0,2192863.0,4.38,117274.0,99.76558676416929,10613.0,9.05
SRR8314078,58464217.0,2512350.0,4.3,,,,0.0
SRR8314120,54310012.0,3224387.0,5.94,126466.0,99.76714054123207,13620.0,10.77
SRR8314126,54111147.0,3241434.0,5.99,109694.0,99.79728021658828,13174.0,12.01
SRR8314215,55204644.0,3318478.0,6.01,30731.0,99.94433258187482,9320.0,30.33
SRR8314756,51884133.0,3839772.0,7.4,146807.0,99.7170483700672,12375.0,8.43
SRR8314638,53802429.0,2428077.0,4.51,,,,0.0
SRR8314733,58482963.0,2586220.0,4.42,123571.0,99.78870598604931,12801.0,10.36
SRR8314736,55364744.0,3019625.0,5.45,132037.0,99.76151429509002,13230.0,10.02
SRR8314817,53506683.0,3107394.0,5.81,140208.0,99.73796170470892,12997.0,9.27
SRR8314217,45311818.0,2550731.0,5.63,46356.0,99.89769556366068,8548.0,18.44
SRR8314227,51669447.0,2047816.0,3.96,68320.0,99.86777485735429,8881.0,13.0
SRR8314233,51274316.0,2398923.0,4.68,118602.0,99.7686912098447,11077.0,9.34
SRR8314276,54896019.0,1857778.0,3.38,140492.0,99.74407615969383,8457.0,6.02
SRR8314632,51434814.0,2299096.0,4.47,97409.0,99.81061659909959,10763.0,11.05
SRR8314764,56894306.0,1950231.0,3.43,179374.0,99.68472416202773,7874.0,4.39
SRR8314819,52242340.0,2334049.0,4.47,99080.0,99.81034540183306,10175.0,10.27
SRR8314063,53630430.0,2259987.0,4.21,100362.0,99.81286370443048,10377.0,10.34
SRR8314154,50366095.0,2564955.0,5.09,32179.0,99.93610979767243,9660.0,30.02
SRR8314477,51601215.0,2776948.0,5.38,159733.0,99.69044721136896,11117.0,6.96
SRR8314608,52469106.0,2166228.0,4.13,95739.0,99.8175326257703,10445.0,10.91
SRR8314610,52822172.0,2084336.0,3.95,104369.0,99.80241441037298,9956.0,9.54
SRR8314814,52538003.0,2271296.0,4.32,107862.0,99.79469718329416,10117.0,9.38
SRR8314061,52085862.0,2141877.0,4.11,,,,0.0
SRR8314624,48471676.0,2049496.0,4.23,,,,0.0
SRR8314635,54766961.0,2286570.0,4.18,105140.0,99.80802294288338,10440.0,9.93
SRR8314746,54269004.0,2467744.0,4.55,125947.0,99.76792092959731,10478.0,8.32
SRR8314815,53275098.0,2216895.0,4.16,108205.0,99.79689385085693,10560.0,9.76
SRR8314065,56405953.0,2435549.0,4.32,110492.0,99.8041128743982,11137.0,10.08
SRR8314628,55553716.0,2073452.0,3.73,109067.0,99.80367289921705,10743.0,9.85
SRR8314725,48850427.0,2091128.0,4.28,118698.0,99.75701747704274,9590.0,8.08
SRR8314762,55613159.0,2575910.0,4.63,118274.0,99.78732731222838,11212.0,9.48
SRR8314234,43165191.0,1914909.0,4.44,54281.0,99.87424821078632,8201.0,15.11
SRR8314306,39905821.0,2595033.0,6.5,108816.0,99.72731797699387,10304.0,9.47
SRR8314308,46986922.0,1791568.0,3.81,89686.0,99.80912561159039,7363.0,8.21
SRR8314211,42290188.0,2379845.0,5.63,27629.0,99.93466806059126,8037.0,29.09
SRR8314300,47627581.0,1746658.0,3.67,121215.0,99.74549410771041,7903.0,6.52
SRR8314550,49485353.0,1664580.0,3.36,99231.0,99.79947399789187,7402.0,7.46
SRR8314612,46594121.0,1634901.0,3.51,112766.0,99.75798234287969,8931.0,7.92
SRR8314128,54785975.0,3436097.0,6.27,159095.0,99.70960633629319,14509.0,9.12
SRR8314298,60708187.0,3553746.0,5.85,,,,0.0
SRR8314373,61261169.0,3610767.0,5.89,173411.0,99.71693161780834,15763.0,9.09
SRR8314536,60606787.0,3236427.0,5.34,,,,0.0
SRR8314808,58435713.0,3282416.0,5.62,176214.0,99.69844810484301,15295.0,8.68
SRR8314134,61883175.0,3741771.0,6.05,138245.0,99.77660325282275,14806.0,10.71
SRR8314316,62882657.0,3560703.0,5.66,180906.0,99.71231177461219,16046.0,8.87
