name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Roseburia	841	G	194	847	1041	0.02343
Blautia	572511	G	103	4	107	0.00241
Mediterraneibacter	2316020	G	47	5	52	0.00117
Anaerobutyricum	2569097	G	41	1	42	0.00095
Agathobacter	1766253	G	41	1	42	0.00095
Simiaoa	2944193	G	22	0	22	0.00050
Anaerostipes	207244	G	21	3	24	0.00054
Lachnospira	28050	G	19	0	19	0.00043
Enterocloster	2719313	G	13	0	13	0.00029
Dorea	189330	G	13	0	13	0.00029
Novisyntrophococcus	2888809	G	8	0	8	0.00018
Lachnoclostridium	1506553	G	8	0	8	0.00018
Chakrabartyella	3088373	G	6	0	6	0.00014
Anaerocolumna	1843210	G	6	0	6	0.00014
Coprococcus	33042	G	6	0	6	0.00014
Butyrivibrio	830	G	3	0	3	0.00007
Herbinix	1663717	G	2	0	2	0.00005
Kineothrix	2163168	G	2	0	2	0.00005
Marvinbryantia	248744	G	2	0	2	0.00005
Sellimonas	1769710	G	2	0	2	0.00005
Anaeromicropila	3024823	G	1	0	1	0.00002
Anaeropeptidivorans	2997360	G	1	0	1	0.00002
Wansuia	2944198	G	1	0	1	0.00002
Anaerotignum	2039240	G	3	0	3	0.00007
Defluviitalea	1185408	G	1	0	1	0.00002
Faecalibacterium	216851	G	636	560	1196	0.02692
Vescimonas	2892396	G	12	6	18	0.00041
Subdoligranulum	292632	G	12	0	12	0.00027
Flavonifractor	946234	G	5	3	8	0.00018
Ruthenibacterium	1905344	G	3	1	4	0.00009
Ruminococcus	1263	G	2	0	2	0.00005
Thermocaproicibacter	3048127	G	1	0	1	0.00002
Pusillibacter	2892397	G	1	0	1	0.00002
Clostridium	1485	G	5	8	13	0.00029
Hungatella	1649459	G	2	0	2	0.00005
Caloramator	44258	G	1	0	1	0.00002
Maliibacterium	3047433	G	3	0	3	0.00007
Candidatus Formimonas	2840454	G	2	0	2	0.00005
Desulforamulus	2916693	G	1	0	1	0.00002
Intestinibacillus	1928820	G	1	0	1	0.00002
Desulfosporosinus	79206	G	1	0	1	0.00002
Filifactor	44259	G	3	0	3	0.00007
Mogibacterium	86331	G	1	0	1	0.00002
Bacillus	1386	G	143	6687	6830	0.15373
Shouchella	2893057	G	2	0	2	0.00005
Parageobacillus	1906945	G	1	0	1	0.00002
Salicibibacter	2685905	G	1	0	1	0.00002
Fictibacillus	1329200	G	1	0	1	0.00002
Staphylococcus	1279	G	2	12	14	0.00032
Paenibacillus	44249	G	2	0	2	0.00005
Gemella	1378	G	1	0	1	0.00002
Streptococcus	1301	G	14	2	16	0.00036
Lactobacillus	1578	G	2	2	4	0.00009
Carnobacterium	2747	G	1	0	1	0.00002
Granulicatella	117563	G	1	0	1	0.00002
Ruoffia	2862144	G	1	1	2	0.00005
Faecalibacillus	2678885	G	34	5	39	0.00088
Longicatena	1918536	G	1	0	1	0.00002
Phascolarctobacterium	33024	G	5	0	5	0.00011
Veillonella	29465	G	1	0	1	0.00002
Anaerococcus	165779	G	2	1	3	0.00007
Finegoldia	150022	G	1	1	2	0.00005
Cutibacterium	1912216	G	165	29	194	0.00437
Tessaracoccus	72763	G	1	0	1	0.00002
Raineyella	1911549	G	1	2	3	0.00007
Corynebacterium	1716	G	41	8	49	0.00110
Mycobacterium	1763	G	5	6	11	0.00025
Dietzia	37914	G	2	0	2	0.00005
Lawsonella	1847725	G	2	0	2	0.00005
Micrococcus	1269	G	7	0	7	0.00016
Kocuria	57493	G	2	2	4	0.00009
Dermacoccus	57495	G	7	5	12	0.00027
Microbacterium	33882	G	3	0	3	0.00007
Brevibacterium	1696	G	2	0	2	0.00005
Miniimonas	947525	G	1	1	2	0.00005
Bifidobacterium	1678	G	20	1	21	0.00047
Actinomyces	1654	G	4	0	4	0.00009
Schaalia	2529408	G	1	0	1	0.00002
Pseudonocardia	1847	G	3	0	3	0.00007
Thermobifida	83677	G	4	0	4	0.00009
Streptomyces	1883	G	1	0	1	0.00002
Collinsella	102106	G	12	0	12	0.00027
Rubrobacter	42255	G	1	0	1	0.00002
Nostoc	1177	G	2	4	6	0.00014
Cylindrospermopsis	77021	G	1	0	1	0.00002
Calothrix	1186	G	1	1	2	0.00005
Gloeothece	28070	G	1	1	2	0.00005
Deinococcus	1298	G	1	0	1	0.00002
Mycoplasma	2093	G	1	0	1	0.00002
Klebsiella	570	G	6	1207	1213	0.02730
Salmonella	590	G	6	30498	30504	0.68659
Escherichia	561	G	2	534	536	0.01206
Shigella	620	G	1	997	998	0.02246
Pantoea	53335	G	1	0	1	0.00002
Sodalis	84565	G	1	0	1	0.00002
Pseudomonas	286	G	21	10	31	0.00070
Acinetobacter	469	G	12	3	15	0.00034
Moraxella	475	G	4	0	4	0.00009
Psychrobacter	497	G	1	0	1	0.00002
Haemophilus	724	G	3	2	5	0.00011
Gallibacterium	155493	G	1	0	1	0.00002
Vibrio	662	G	4	10	14	0.00032
Grimontia	246861	G	1	0	1	0.00002
Stenotrophomonas	40323	G	2	1	3	0.00007
Ahniella	2233801	G	1	0	1	0.00002
Flagellatimonas	2893022	G	1	0	1	0.00002
Salinicola	404432	G	1	0	1	0.00002
Turicimonas	1918598	G	14	2	16	0.00036
Sutterella	40544	G	1	0	1	0.00002
Cupriavidus	106589	G	6	0	6	0.00014
Burkholderia	32008	G	2	0	2	0.00005
Acidovorax	12916	G	2	11	13	0.00029
Delftia	80865	G	1	0	1	0.00002
Telluria	34069	G	1	2	3	0.00007
Oxalobacter	846	G	1	0	1	0.00002
Janthinobacterium	29580	G	1	0	1	0.00002
Caldimonas	196013	G	2	4	6	0.00014
Bordetella	517	G	1	1	2	0.00005
Pigmentiphaga	152267	G	1	2	3	0.00007
Agrobacterium	357	G	1	0	1	0.00002
Rhizobium	379	G	1	2	3	0.00007
Neorhizobium	1525371	G	1	3	4	0.00009
Microvirga	186650	G	1	0	1	0.00002
Methylorubrum	2282523	G	1	5	6	0.00014
Aureimonas	414371	G	2	0	2	0.00005
Sphingomonas	13687	G	8	0	8	0.00018
Sphingosinithalassobacter	2676233	G	1	0	1	0.00002
Sediminicoccus	1706033	G	5	0	5	0.00011
Roseomonas	125216	G	1	0	1	0.00002
Aliiroseovarius	1658781	G	2	2	4	0.00009
Paracoccus	265	G	1	0	1	0.00002
Brevundimonas	41275	G	2	0	2	0.00005
Phocaeicola	909656	G	120	28	148	0.00333
Bacteroides	816	G	48	4	52	0.00117
Parabacteroides	375288	G	30	10	40	0.00090
Segatella	2974251	G	9	1	10	0.00023
Prevotella	838	G	1	0	1	0.00002
Odoribacter	283168	G	5	0	5	0.00011
Porphyromonas	836	G	2	0	2	0.00005
Empedobacter	59734	G	1	0	1	0.00002
Dyadobacter	120831	G	5	0	5	0.00011
Spirosoma	107	G	2	0	2	0.00005
Olivibacter	376469	G	1	0	1	0.00002
Gemmatimonas	173479	G	1	0	1	0.00002
Desulfovibrio	872	G	4	0	4	0.00009
Lawsonia	41707	G	2	1	3	0.00007
Nitratidesulfovibrio	2802295	G	2	9	11	0.00025
Pseudodesulfovibrio	2035811	G	1	4	5	0.00011
Maridesulfovibrio	2794998	G	1	1	2	0.00005
Taurinivorans	3126915	G	1	1	2	0.00005
Desulfofustis	51194	G	2	0	2	0.00005
Leptotrichia	32067	G	3	0	3	0.00007
Fusobacterium	848	G	1	0	1	0.00002
Arcobacter	28196	G	1	0	1	0.00002
Methanocaldococcus	196118	G	361	301	662	0.01490
Halococcus	2249	G	1	0	1	0.00002
Homo	9605	G	18	1	19	0.00043
