otu,SRR8314055_report_16,SRR8314055_report_8,SRR8314063_report_16,SRR8314063_report_8,SRR8314065_report_16,SRR8314065_report_8,SRR8314069_report_16,SRR8314069_report_8,SRR8314071_report_16,SRR8314071_report_8,SRR8314102_report_16,SRR8314102_report_8,SRR8314104_report_16,SRR8314104_report_8,SRR8314120_report_16,SRR8314120_report_8,SRR8314122_report_16,SRR8314122_report_8,SRR8314126_report_16,SRR8314126_report_8,SRR8314128_report_16,SRR8314128_report_8,SRR8314134_report_16,SRR8314134_report_8,SRR8314146_report_16,SRR8314146_report_8,SRR8314152_report_16,SRR8314152_report_8,SRR8314154_report_16,SRR8314154_report_8,SRR8314210_report_16,SRR8314210_report_8,SRR8314211_report_16,SRR8314211_report_8,SRR8314215_report_16,SRR8314215_report_8,SRR8314217_report_16,SRR8314217_report_8,SRR8314222_report_16,SRR8314222_report_8,SRR8314225_report_16,SRR8314225_report_8,SRR8314227_report_16,SRR8314227_report_8,SRR8314229_report_16,SRR8314229_report_8,SRR8314230_report_16,SRR8314230_report_8,SRR8314231_report_16,SRR8314231_report_8,SRR8314233_report_16,SRR8314233_report_8,SRR8314234_report_16,SRR8314234_report_8,SRR8314274_report_16,SRR8314274_report_8,SRR8314276_report_16,SRR8314276_report_8,SRR8314282_report_16,SRR8314282_report_8,SRR8314286_report_16,SRR8314286_report_8,SRR8314290_report_16,SRR8314290_report_8,SRR8314300_report_16,SRR8314300_report_8,SRR8314302_report_16,SRR8314302_report_8,SRR8314306_report_16,SRR8314306_report_8,SRR8314308_report_16,SRR8314308_report_8,SRR8314312_report_16,SRR8314312_report_8,SRR8314314_report_16,SRR8314314_report_8,SRR8314316_report_16,SRR8314316_report_8,SRR8314347_report_16,SRR8314347_report_8,SRR8314353_report_16,SRR8314353_report_8,SRR8314357_report_16,SRR8314357_report_8,SRR8314359_report_16,SRR8314359_report_8,SRR8314373_report_16,SRR8314373_report_8,SRR8314375_report_16,SRR8314375_report_8,SRR8314377_report_16,SRR8314377_report_8,SRR8314379_report_16,SRR8314379_report_8,SRR8314391_report_16,SRR8314391_report_8,SRR8314393_report_16,SRR8314393_report_8,SRR8314395_report_16,SRR8314395_report_8,SRR8314397_report_16,SRR8314397_report_8,SRR8314475_report_16,SRR8314475_report_8,SRR8314477_report_16,SRR8314477_report_8,SRR8314487_report_16,SRR8314487_report_8,SRR8314491_report_16,SRR8314491_report_8,SRR8314495_report_16,SRR8314495_report_8,SRR8314534_report_16,SRR8314534_report_8,SRR8314540_report_16,SRR8314540_report_8,SRR8314544_report_16,SRR8314544_report_8,SRR8314550_report_16,SRR8314550_report_8,SRR8314554_report_16,SRR8314554_report_8,SRR8314562_report_16,SRR8314562_report_8,SRR8314566_report_16,SRR8314566_report_8,SRR8314570_report_16,SRR8314570_report_8,SRR8314592_report_16,SRR8314592_report_8,SRR8314594_report_16,SRR8314594_report_8,SRR8314600_report_16,SRR8314600_report_8,SRR8314606_report_16,SRR8314606_report_8,SRR8314608_report_16,SRR8314608_report_8,SRR8314610_report_16,SRR8314610_report_8,SRR8314612_report_16,SRR8314612_report_8,SRR8314616_report_16,SRR8314616_report_8,SRR8314620_report_16,SRR8314620_report_8,SRR8314622_report_16,SRR8314622_report_8,SRR8314628_report_16,SRR8314628_report_8,SRR8314630_report_16,SRR8314630_report_8,SRR8314632_report_16,SRR8314632_report_8,SRR8314635_report_16,SRR8314635_report_8,SRR8314644_report_16,SRR8314644_report_8,SRR8314650_report_16,SRR8314650_report_8,SRR8314703_report_16,SRR8314703_report_8,SRR8314705_report_16,SRR8314705_report_8,SRR8314709_report_16,SRR8314709_report_8,SRR8314717_report_16,SRR8314717_report_8,SRR8314719_report_16,SRR8314719_report_8,SRR8314721_report_16,SRR8314721_report_8,SRR8314723_report_16,SRR8314723_report_8,SRR8314725_report_16,SRR8314725_report_8,SRR8314733_report_16,SRR8314733_report_8,SRR8314736_report_16,SRR8314736_report_8,SRR8314738_report_16,SRR8314738_report_8,SRR8314746_report_16,SRR8314746_report_8,SRR8314748_report_16,SRR8314748_report_8,SRR8314756_report_16,SRR8314756_report_8,SRR8314758_report_16,SRR8314758_report_8,SRR8314762_report_16,SRR8314762_report_8,SRR8314764_report_16,SRR8314764_report_8,SRR8314766_report_16,SRR8314766_report_8,SRR8314769_report_16,SRR8314769_report_8,SRR8314773_report_16,SRR8314773_report_8,SRR8314775_report_16,SRR8314775_report_8,SRR8314808_report_16,SRR8314808_report_8,SRR8314814_report_16,SRR8314814_report_8,SRR8314815_report_16,SRR8314815_report_8,SRR8314817_report_16,SRR8314817_report_8,SRR8314819_report_16,SRR8314819_report_8
Enterocloster,205,171,8,6,63,57,1,1,15,10,2,1,17,10,0,0,3,3,1,1,4,0,8,2,0,0,23,18,43,36,29,19,4,2,3,1,0,0,14,13,14,7,0,0,0,0,10,11,3,3,7,3,5,1,259,222,0,0,42,17,74,45,30,11,99,69,57,39,5,5,69,57,28,20,2,1,4,1,3,2,6,3,477,298,4,4,0,0,10,4,17,14,15,14,69,42,18,16,12,8,6,5,214,149,51,39,50,41,5,4,4,2,87,60,0,0,0,0,13,6,13,6,19,15,5,4,16,12,0,0,2,2,87,66,50,41,48,32,1,1,0,0,17,11,13,3,0,0,58,52,97,72,11,10,10,8,5,3,2,2,1,1,0,0,5,2,12,6,46,32,11,9,97,60,0,0,2,0,7,5,16,8,19,12,6,1,142,87,67,34,73,43,175,114,21,15,302,220,573,461,311,242,3,2,25,15,78,40,15,7,14,14
Blautia,81,68,5,4,29,23,7,2,71,51,65,53,134,114,0,0,1,0,11,11,69,55,12,9,34,31,14,11,59,50,33,20,5,4,12,7,18,17,24,22,200,151,2,1,1,1,71,54,78,69,54,35,26,20,61,31,0,0,29,22,502,365,276,218,274,181,153,68,15,10,159,114,140,106,31,20,13,13,6,5,52,39,172,104,38,20,19,16,229,180,129,72,93,56,560,417,341,260,132,95,12,2,834,639,184,138,102,80,28,13,60,40,60,31,0,0,1,1,103,73,115,85,42,33,30,10,55,23,4,3,15,11,22,13,32,26,100,73,2,2,3,2,34,29,124,94,1,1,330,230,909,617,36,26,363,290,76,54,4,4,9,7,1,1,39,22,90,64,79,57,28,21,200,124,2,1,36,24,35,28,194,141,111,75,8,2,377,293,322,257,342,236,1064,719,134,102,677,469,609,410,568,428,8,6,259,200,18,16,4,3,22,17
Dorea,35,26,0,0,2,2,3,3,20,13,12,8,20,16,0,0,0,0,0,0,1,1,22,13,33,23,2,3,4,3,2,0,0,0,3,2,2,1,14,8,35,25,2,2,0,0,20,13,30,17,13,10,0,0,7,7,0,0,8,5,140,95,74,63,91,76,115,86,10,4,87,60,71,49,14,13,14,13,2,2,13,11,364,276,14,9,2,2,52,35,116,81,75,48,266,193,56,43,12,9,24,19,105,89,34,23,2,0,38,25,42,29,95,76,0,0,0,0,13,7,57,37,27,21,70,53,91,73,2,0,16,11,10,9,6,2,5,4,0,0,3,3,1,0,10,7,0,0,53,27,106,69,14,8,45,36,15,8,13,10,0,0,0,0,22,19,70,53,111,73,38,26,297,233,0,0,11,11,17,11,71,47,30,16,1,1,323,244,33,27,75,44,228,157,6,4,113,80,23,11,22,16,0,0,61,45,70,55,10,7,0,0
Anaerostipes,21,18,0,0,1,0,2,2,40,27,50,44,64,44,1,1,0,0,0,0,10,10,14,11,1,1,1,0,3,2,19,19,1,1,0,0,1,1,0,0,46,33,1,0,0,0,2,0,4,2,17,12,16,14,76,70,0,0,10,8,273,203,147,89,46,35,266,184,7,5,129,106,510,373,33,25,16,11,0,0,11,11,235,178,28,25,6,4,50,35,299,222,303,228,20,15,82,48,33,26,46,38,134,100,48,35,183,133,67,52,55,39,536,411,0,0,0,0,21,16,47,26,4,1,22,15,29,21,0,0,16,10,8,6,8,8,12,7,1,1,0,0,13,11,8,9,3,3,613,463,2704,2015,5,4,123,103,10,8,5,5,0,0,0,0,8,5,529,400,290,222,45,33,2390,1740,1,0,0,0,14,10,43,36,13,9,1,1,703,534,180,135,67,46,247,184,9,8,1077,807,74,66,145,128,1,1,111,93,4,4,1,1,1,1
Roseburia,18,8,0,0,0,0,6,3,13,9,38,12,25,5,1,0,0,0,0,0,0,0,11,5,19,7,8,7,8,2,10,3,0,0,4,4,4,3,1,0,113,46,6,5,0,0,2,0,1,0,9,4,1,0,75,16,0,0,24,14,213,101,122,63,19,3,194,80,19,6,175,92,30,19,0,0,1,1,0,0,4,1,696,573,34,22,19,17,22,16,109,43,54,21,163,129,114,64,61,30,19,6,177,71,55,25,367,184,12,6,14,4,13,4,0,0,0,0,194,90,247,134,16,9,16,13,26,14,0,0,0,0,4,1,88,39,142,76,1,1,3,1,11,6,95,56,0,0,114,30,247,49,13,7,65,37,20,7,11,10,3,2,0,0,27,17,26,18,8,3,1,1,127,85,0,0,23,19,8,6,81,49,19,14,8,3,615,354,132,102,63,35,248,99,50,18,347,251,4,5,15,9,1,1,160,69,7,5,0,0,5,3
Agathobacter,18,14,0,0,0,0,1,2,3,2,7,2,2,2,0,0,0,0,0,0,1,1,5,4,7,5,1,1,2,2,1,1,1,1,0,0,2,2,1,0,132,85,1,1,0,0,11,8,7,6,3,3,1,1,12,9,0,0,2,2,95,68,59,37,65,58,232,205,4,4,85,84,1,0,17,14,2,2,0,0,16,13,12,14,45,39,2,1,79,70,287,271,194,175,1,1,77,68,55,45,38,34,103,93,15,15,45,33,71,65,83,78,148,131,0,0,1,1,41,34,93,72,11,8,110,101,203,189,3,3,14,14,4,1,36,28,67,49,0,0,0,0,4,4,20,11,0,0,418,369,1609,1443,5,5,127,102,5,3,1,1,0,0,0,0,2,2,105,97,1,1,0,0,290,257,0,0,19,13,6,6,27,18,12,6,2,1,305,262,22,22,174,163,974,915,12,9,14,12,8,7,7,2,1,1,95,54,2,2,0,0,2,2
Anaerobutyricum,16,12,0,0,4,3,0,0,33,30,23,18,25,17,0,0,1,0,0,0,0,0,12,10,14,10,5,5,6,5,4,4,1,1,0,0,0,0,8,7,14,4,3,1,0,0,5,2,2,0,16,10,11,8,1,1,0,0,20,13,210,154,94,70,93,65,50,38,10,7,142,116,112,93,23,16,20,17,0,0,15,10,40,4,29,27,0,0,8,5,146,114,120,92,101,71,156,126,77,62,34,27,277,218,184,159,11,8,43,31,65,47,128,105,0,0,0,0,41,32,74,62,12,9,39,26,32,25,2,1,12,7,28,20,24,20,53,45,0,0,0,0,18,14,2,2,0,0,168,132,374,302,5,5,42,29,12,7,7,6,3,2,0,0,4,4,25,10,66,53,9,5,112,83,0,0,4,4,62,50,683,537,22,16,0,0,96,63,120,83,52,27,154,100,28,18,106,80,1,1,0,0,0,0,59,42,5,0,1,0,8,5
Anaeropeptidivorans,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,7,0,3,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Lacrimispora,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,3,3,3,32,21,0,0,12,10,11,11,5,4,12,14,2,0,0,0,2,2,8,1,0,0,2,2,1,0,3,2,60,55,2,0,0,0,3,2,0,0,1,0,9,7,3,3,3,3,0,0,25,14,3,2,4,0,3,3,2,2,15,15,0,0,0,0,0,0,0,0,8,3,0,0,2,2,0,0,0,0,7,6,2,2,1,0,0,0,0,0,1,1,4,4,0,0,1,0,2,0,2,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,8,0,0,0,0,2,0,4,1,11,9,0,0,8,7,16,16,16,15,36,37,3,1,341,314,12,8,20,14,0,0,4,4,7,7,1,1,0,0
Mediterraneibacter,5,0,0,0,0,0,9,7,44,26,20,10,46,32,1,1,2,2,0,0,3,2,117,96,21,18,11,8,23,19,33,24,4,1,6,5,16,10,9,6,62,43,12,10,2,2,4,4,9,3,51,35,12,8,394,240,0,0,301,240,1449,1055,800,612,265,215,415,305,38,25,425,342,616,454,81,64,42,27,50,38,3,3,2292,1737,58,45,42,31,58,44,458,359,374,292,543,447,218,176,69,57,31,25,1463,1098,516,384,306,218,369,275,614,475,478,336,0,0,1,0,47,41,40,28,62,56,576,436,781,602,8,7,70,67,8,4,37,26,69,53,2,2,4,4,16,13,150,115,0,0,1011,781,3097,2231,14,7,69,50,26,22,66,53,3,3,0,0,44,35,136,106,96,70,18,14,379,313,1,0,9,9,37,22,164,131,532,415,52,39,146,113,104,60,69,49,130,90,76,47,125,92,415,184,458,225,5,2,21,16,218,181,41,26,47,24
